GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3A,FG3M,FG3_PCT,FTA,FTM,FT_PCT,DREB,OREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0028500002,1610612756,PHX,Phoenix,76742,Rod Foster,,,17,4,5,0.8,0.0,0.0,0.0,2,0,0.0,2.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,8,
0028500002,1610612756,PHX,Phoenix,76824,Georgi Glouchkov,,,15,1,5,0.2,1.0,1.0,1.0,6,4,0.667,3.0,0.0,3.0,1.0,1.0,0.0,3.0,3.0,7,
0028500002,1610612756,PHX,Phoenix,77081,Jay Humphries,,,31,5,7,0.714,0.0,0.0,0.0,4,3,0.75,5.0,0.0,5.0,3.0,2.0,0.0,1.0,2.0,13,
0028500002,1610612756,PHX,Phoenix,77178,Charles Jones,,,30,0,2,0.0,0.0,0.0,0.0,6,2,0.333,6.0,1.0,7.0,1.0,2.0,2.0,1.0,3.0,2,
0028500002,1610612756,PHX,Phoenix,77685,Larry Nance,,,32,10,14,0.714,0.0,0.0,0.0,6,5,0.833,9.0,2.0,11.0,6.0,1.0,1.0,2.0,2.0,25,
0028500002,1610612756,PHX,Phoenix,77864,Charlie Pittman,,,7,0,2,0.0,0.0,0.0,0.0,2,2,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2,
0028500002,1610612756,PHX,Phoenix,77984,Rick Robey,,,5,0,0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0,
0028500002,1610612756,PHX,Phoenix,78059,Mike Sanders,,,17,2,4,0.5,0.0,0.0,0.0,6,4,0.667,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,8,
0028500002,1610612760,SEA,Seattle,1365,Xavier McDaniel,,,34,11,19,0.579,1.0,1.0,1.0,2,0,0.0,1.0,7.0,8.0,4.0,2.0,1.0,3.0,5.0,23,
0028500002,1610612760,SEA,Seattle,1472,Tom Chambers,,,24,1,10,0.1,1.0,0.0,0.0,4,3,0.75,3.0,2.0,5.0,0.0,1.0,0.0,2.0,1.0,5,
0028500002,1610612760,SEA,Seattle,76993,Gerald Henderson,,,25,1,6,0.167,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,3,
0028500002,1610612760,SEA,Seattle,77019,Rod Higgins,,,17,3,7,0.429,2.0,1.0,0.5,2,0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,7,
0028500002,1610612760,SEA,Seattle,77149,George Johnson,,,12,0,1,0.0,0.0,0.0,0.0,0,0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0,
0028500002,1610612760,SEA,Seattle,77516,Tim McCormick,,,9,0,2,0.0,0.0,0.0,0.0,2,1,0.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,1,
0028500002,1610612760,SEA,Seattle,77852,Mike Phelps,,,13,4,7,0.571,0.0,0.0,0.0,4,3,0.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,11,
0028500002,1610612760,SEA,Seattle,78149,Jack Sikma,,,28,3,10,0.3,0.0,0.0,0.0,2,1,0.5,8.0,0.0,8.0,6.0,1.0,4.0,1.0,3.0,7,
0028500002,1610612760,SEA,Seattle,78215,Ricky Sobers,,,16,5,8,0.625,4.0,3.0,0.75,0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,13,
0028500002,1610612760,SEA,Seattle,78423,Danny Vranes,,,17,0,5,0.0,0.0,0.0,0.0,2,2,1.0,4.0,2.0,6.0,1.0,0.0,0.0,0.0,3.0,2,
0028500002,1610612760,SEA,Seattle,78610,Al Wood,,,23,6,11,0.545,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,12,
0028500002,1610612760,SEA,Seattle,78633,Danny Young,,,22,7,13,0.538,3.0,1.0,0.333,0,0,0.0,2.0,2.0,4.0,2.0,1.0,0.0,2.0,2.0,15,
0028500003,1610612749,MIL,Milwaukee,175,Alton Lister,,,20,5,6,0.833,0.0,0.0,0.0,1,1,1.0,5.0,1.0,6.0,1.0,1.0,2.0,3.0,4.0,11,
0028500003,1610612749,MIL,Milwaukee,187,Terry Cummings,,,25,12,19,0.632,0.0,0.0,0.0,9,4,0.444,4.0,2.0,6.0,2.0,1.0,1.0,1.0,6.0,28,
0028500003,1610612749,MIL,Milwaukee,894,Ricky Pierce,,,30,5,16,0.313,1.0,0.0,0.0,7,7,1.0,0.0,3.0,3.0,3.0,3.0,0.0,2.0,5.0,17,
0028500003,1610612749,MIL,Milwaukee,76247,Randy Breuer,,,28,3,4,0.75,0.0,0.0,0.0,4,2,0.5,2.0,1.0,3.0,2.0,1.0,3.0,1.0,5.0,8,
