GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3A,FG3M,FG3_PCT,FTA,FTM,FT_PCT,DREB,OREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,EFG_PCT,FTA_RATE,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,TM_TOV_PCT,BLKA,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PFD,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT
0029800001,1610612738,BOS,Boston,35,Eric Riley,,,27:12,4,7,0.571,0,0,0.0,2,1,0.5,6,5,11,1,0,1,3,1,9,7.0,0.48,0.3,0.359,0.391,0.4,0.208,0.286,0.141,0,10,6,10,22,0,4,0,4,8
0029800001,1610612738,BOS,Boston,65,Greg Minor,,,8:30,1,4,0.25,2,1,0.5,2,2,1.0,1,1,2,0,0,0,1,2,5,1.0,0.333,0.333,0.286,0.571,0.444,0.228,0.417,0.161,0,6,2,0,6,0,0,0,0,0
0029800001,1610612738,BOS,Boston,72,Kenny Anderson,G,,32:02,3,11,0.273,2,0,0.0,2,2,1.0,4,0,4,7,1,0,1,0,8,-16.0,0.509,0.245,0.432,0.348,0.472,0.078,0.286,0.191,1,22,15,19,42,0,0,0,0,2
0029800001,1610612738,BOS,Boston,344,Dana Barros,,,16:18,5,9,0.556,3,3,1.0,0,0,0.0,0,1,1,2,2,0,3,0,13,5.0,0.414,0.345,0.348,0.522,0.385,0.321,0.294,0.22,1,4,6,6,10,0,0,0,3,2
0029800001,1610612738,BOS,Boston,368,Dwayne Schintzius,,,1:09,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,2,0,-8.0,0.0,0.0,0.429,0.286,1.0,0.0,0.0,0.667,0,3,5,6,6,0,0,0,0,0
0029800001,1610612738,BOS,Boston,952,Antoine Walker,F,,41:13,9,18,0.5,0,0,0.0,5,3,0.6,5,2,7,1,0,0,3,3,21,-15.0,0.507,0.254,0.437,0.342,0.463,0.143,0.25,0.216,0,24,19,25,50,0,2,3,4,14
0029800001,1610612738,BOS,Boston,962,Walter McCarty,,,7:00,0,3,0.0,1,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-2.0,0.267,0.267,0.267,0.4,0.5,0.18,0.455,0.254,0,4,4,2,6,0,0,0,0,0
0029800001,1610612738,BOS,Boston,1477,Bruce Bowen,,,17:41,1,3,0.333,3,1,0.333,2,0,0.0,0,2,2,2,1,0,2,4,3,5.0,0.439,0.394,0.323,0.452,0.5,0.205,0.4,0.14,0,10,4,7,12,0,0,0,0,0
0029800001,1610612738,BOS,Boston,1499,Tony Battie,C,,18:39,2,2,1.0,0,0,0.0,4,3,0.75,1,1,2,1,0,0,2,6,7,-6.0,0.556,0.37,0.5,0.567,0.4,0.16,0.308,0.226,0,11,8,7,20,0,3,0,0,0
0029800001,1610612738,BOS,Boston,1500,Ron Mercer,G,,22:23,2,8,0.25,0,0,0.0,0,0,0.0,0,0,0,1,0,2,0,3,4,-9.0,0.529,0.235,0.461,0.447,0.333,0.154,0.176,0.225,0,9,8,10,22,0,0,0,0,0
0029800001,1610612738,BOS,Boston,1718,Paul Pierce,F,,39:16,7,14,0.5,4,2,0.5,6,3,0.5,9,0,9,5,2,4,1,4,19,-10.0,0.524,0.27,0.433,0.333,0.45,0.15,0.242,0.204,1,20,19,23,46,0,3,0,8,8
0029800001,1610612738,BOS,Boston,1831,Marlon Garnett,,,8:37,1,2,0.5,2,1,0.5,0,0,0.0,1,0,1,0,0,0,1,0,3,-7.0,0.5,0.133,0.429,0.286,0.556,0.097,0.222,0.302,1,7,9,10,18,0,0,0,0,0
0029800001,1610612761,TOR,Toronto,57,Doug Christie,G,,36:44,8,20,0.4,6,3,0.5,8,8,1.0,4,3,7,1,2,1,1,2,27,13.0,0.43,0.38,0.517,0.259,0.258,0.22,0.421,0.107,7,10,3,13,30,0,6,6,8,8
0029800001,1610612761,TOR,Toronto,244,Dee Brown,,,31:39,3,13,0.231,2,0,0.0,2,1,0.5,3,0,3,2,2,0,1,2,7,-2.0,0.371,0.379,0.473,0.304,0.29,0.155,0.5,0.204,0,11,3,14,26,0,0,0,0,0
0029800001,1610612761,TOR,Toronto,788,Kevin Willis,C,,40:20,11,21,0.524,1,0,0.0,7,6,0.857,11,5,16,2,1,0,5,5,28,12.0,0.433,0.387,0.485,0.284,0.324,0.231,0.447,0.145,0,10,3,17,28,0,6,9,13,22
0029800001,1610612761,TOR,Toronto,891,Charles Oakley,F,,37:29,1,7,0.143,0,0,0.0,2,2,1.0,7,2,9,4,1,1,0,4,4,10.0,0.433,0.403,0.517,0.328,0.2,0.21,0.417,0.158,0,6,3,14,26,0,2,0,0,0
0029800001,1610612761,TOR,Toronto,1073,Reggie Slater,,,18:11,1,4,0.25,0,0,0.0,2,2,1.0,2,3,5,0,0,0,3,4,4,0.0,0.319,0.389,0.419,0.216,0.348,0.133,0.5,0.21,0,8,0,7,14,0,4,0,0,2
0029800001,1610612761,TOR,Toronto,1503,Tracy McGrady,,,13:20,4,7,0.571,0,0,0.0,6,5,0.833,2,5,7,0,1,1,3,0,13,1.0,0.364,0.364,0.362,0.207,0.444,0.113,0.571,0.313,0,8,0,5,8,0,6,0,2,8
0029800001,1610612761,TOR,Toronto,1541,Alvin Williams,G,,30:56,2,6,0.333,0,0,0.0,0,0,0.0,1,3,4,6,3,0,1,3,4,12.0,0.404,0.439,0.471,0.231,0.3,0.249,0.419,0.167,0,3,0,11,16,0,2,2,2,4
0029800001,1610612761,TOR,Toronto,1713,Vince Carter,F,,31:21,5,11,0.455,1,0,0.0,8,6,0.75,2,1,3,2,2,1,1,3,16,9.0,0.449,0.39,0.531,0.396,0.2,0.226,0.4,0.123,1,4,3,14,22,0,0,4,0,8
0029800002,1610612752,NYK,New York,84,Latrell Sprewell,F,,35:27,8,16,0.5,5,2,0.4,9,6,0.667,5,1,6,2,2,0,3,4,24,-11.0,0.464,0.357,0.451,0.426,0.323,0.126,0.25,0.186,1,17,10,15,26,0,2,8,10,8
0029800002,1610612752,NYK,New York,121,Patrick Ewing,C,,38:11,7,13,0.538,0,0,0.0,5,3,0.6,8,1,9,2,0,0,4,4,17,7.0,0.516,0.242,0.39,0.338,0.25,0.139,0.226,0.163,0,17,6,15,24,0,0,0,6,12
0029800002,1610612752,NYK,New York,164,Chris Childs,,,22:36,2,5,0.4,0,0,0.0,1,0,0.0,1,0,1,1,2,0,0,4,4,-20.0,0.393,0.429,0.5,0.263,0.231,0.132,0.158,0.229,1,13,6,12,16,0,0,2,0,0
0029800002,1610612752,NYK,New York,192,Dennis Scott,,,7:10,0,2,0.0,1,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,-2.0,0.409,0.455,0.409,0.545,0.25,0.137,0.125,0.141,0,3,2,2,2,0,0,0,0,0
0029800002,1610612752,NYK,New York,201,Chris Dudley,,,11:26,2,2,1.0,0,0,0.0,2,1,0.5,1,1,2,0,0,1,2,4,5,-17.0,0.429,0.571,0.575,0.5,0.2,0.079,0.222,0.311,0,8,4,10,12,0,0,0,0,4
