GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3A,FG3M,FG3_PCT,FTA,FTM,FT_PCT,DREB,OREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0029300001,1610612766,CHH,Charlotte,177,Muggsy Bogues,,,41,3,9,0.333,1,0,0.0,2,1,0.5,3.0,2,5.0,11,1,0,1,2,7,
0029300001,1610612766,CHH,Charlotte,209,Dell Curry,,,31,5,14,0.357,6,2,0.333,4,4,1.0,4.0,2,6.0,2,0,0,1,2,16,
0029300001,1610612766,CHH,Charlotte,271,Johnny Newman,,,30,10,17,0.588,1,1,1.0,7,6,0.857,2.0,0,2.0,4,1,0,1,6,27,
0029300001,1610612766,CHH,Charlotte,297,Alonzo Mourning,,,43,7,15,0.467,0,0,0.0,5,4,0.8,7.0,3,10.0,1,1,1,2,5,18,
0029300001,1610612766,CHH,Charlotte,698,Eddie Johnson,,,16,4,6,0.667,0,0,0.0,2,1,0.5,3.0,0,3.0,1,0,0,0,1,9,
0029300001,1610612766,CHH,Charlotte,765,Hersey Hawkins,,,31,7,12,0.583,4,2,0.5,3,2,0.667,4.0,1,5.0,3,2,1,2,6,18,
0029300001,1610612766,CHH,Charlotte,913,Larry Johnson,,,38,8,17,0.471,0,0,0.0,0,0,0.0,9.0,1,10.0,4,2,0,2,4,16,
0029300001,1610612766,CHH,Charlotte,930,Kenny Gattison,,,22,4,6,0.667,0,0,0.0,3,2,0.667,1.0,1,2.0,3,0,2,1,3,10,
0029300001,1610612766,CHH,Charlotte,1034,LeRon Ellis,,,1,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,
0029300001,1610612766,CHH,Charlotte,76148,Tony Bennett,,,12,1,3,0.333,1,0,0.0,0,0,0.0,1.0,0,1.0,2,0,0,3,1,2,
