FIRST_NAME,GAMECODE,GAME_DATE,GAME_ID,JERSEY_NUM,LAST_NAME,OFFICIAL_ID
Monty,20021029/CLESAC,"TUESDAY, OCTOBER 29, 2002",0020200002,58,McCutchen,1176.0
Ron,20021029/CLESAC,"TUESDAY, OCTOBER 29, 2002",0020200002,10,Garretson,1164.0
Bennie,20021029/CLESAC,"TUESDAY, OCTOBER 29, 2002",0020200002,47,Adams,1363.0
Violet,20021102/SACMEM,"SATURDAY, NOVEMBER 2, 2002",0020200035,66,Palmer,1185.0
Joe,20021102/SACMEM,"SATURDAY, NOVEMBER 2, 2002",0020200035,45,Forte,1161.0
Rodney,20021102/SACMEM,"SATURDAY, NOVEMBER 2, 2002",0020200035,71,Mott,1179.0
Tom,20021102/MIANOH,"SATURDAY, NOVEMBER 2, 2002",0020200036,49,Washington,1199.0
Sean,20021102/MIANOH,"SATURDAY, NOVEMBER 2, 2002",0020200036,33,Corbin,1151.0
Michael,20021102/MIANOH,"SATURDAY, NOVEMBER 2, 2002",0020200036,62,Henderson,2147.0
Tom,20021105/LALCLE,"TUESDAY, NOVEMBER 5, 2002",0020200053,49,Washington,1199.0
Bill,20021105/LALCLE,"TUESDAY, NOVEMBER 5, 2002",0020200053,22,Spooner,1194.0
Violet,20021105/LALCLE,"TUESDAY, NOVEMBER 5, 2002",0020200053,66,Palmer,1185.0
Gary,20021107/LALBOS,"THURSDAY, NOVEMBER 7, 2002",0020200069,59,Zielinski,1664.0
Bennett,20021107/LALBOS,"THURSDAY, NOVEMBER 7, 2002",0020200069,15,Salvatore,1192.0
Mark,20021107/LALBOS,"THURSDAY, NOVEMBER 7, 2002",0020200069,18,Wunderlich,1203.0
Blane,20021108/LALWAS,"FRIDAY, NOVEMBER 8, 2002",0020200076,37,Reichelt,1186.0
Joe,20021108/LALWAS,"FRIDAY, NOVEMBER 8, 2002",0020200076,17,Crawford,1153.0
Michael,20021108/LALWAS,"FRIDAY, NOVEMBER 8, 2002",0020200076,62,Henderson,2147.0
Mike,20021109/PHIMIL,"SATURDAY, NOVEMBER 9, 2002",0020200087,24,Callahan,1147.0
Bennie,20021109/PHIMIL,"SATURDAY, NOVEMBER 9, 2002",0020200087,47,Adams,1363.0
David,20021109/PHIMIL,"SATURDAY, NOVEMBER 9, 2002",0020200087,36,Jones,1168.0
Derrick,20021109/GSWHOU,"SATURDAY, NOVEMBER 9, 2002",0020200089,9,Stafford,1195.0
Violet,20021109/GSWHOU,"SATURDAY, NOVEMBER 9, 2002",0020200089,66,Palmer,1185.0
Jess,20021109/GSWHOU,"SATURDAY, NOVEMBER 9, 2002",0020200089,20,Kersey,1826.0
Marc,20021120/NJNBOS,"WEDNESDAY, NOVEMBER 20, 2002",0020200156,64,Davis,1830.0
Bernie,20021120/NJNBOS,"WEDNESDAY, NOVEMBER 20, 2002",0020200156,7,Fryer,1163.0
George,20021120/NJNBOS,"WEDNESDAY, NOVEMBER 20, 2002",0020200156,23,Toliver,1827.0
Mike,20021127/DENSAS,"WEDNESDAY, NOVEMBER 27, 2002",0020200213,24,Callahan,1147.0
Pat,20021127/DENSAS,"WEDNESDAY, NOVEMBER 27, 2002",0020200213,52,Fraher,2003.0
Ron,20021127/DENSAS,"WEDNESDAY, NOVEMBER 27, 2002",0020200213,44,Olesiak,1184.0
Joe,20021130/DETMIL,"SATURDAY, NOVEMBER 30, 2002",0020200235,17,Crawford,1153.0
