OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAMECODE,GAME_ID,GAME_DATE
1162,Scott,Foster,48,20041102/HOUDET,0020400001,"TUESDAY, NOVEMBER 2, 2004"
2534,Zach,Zarba,58,20041102/HOUDET,0020400001,"TUESDAY, NOVEMBER 2, 2004"
1167,Steve,Javie,29,20041102/HOUDET,0020400001,"TUESDAY, NOVEMBER 2, 2004"
1142,Dick,Bavetta,27,20041102/SACDAL,0020400002,"TUESDAY, NOVEMBER 2, 2004"
1826,Jess,Kersey,20,20041102/SACDAL,0020400002,"TUESDAY, NOVEMBER 2, 2004"
1143,Gary,Benson,30,20041102/SACDAL,0020400002,"TUESDAY, NOVEMBER 2, 2004"
1830,Marc,Davis,34,20041102/DENLAL,0020400003,"TUESDAY, NOVEMBER 2, 2004"
1168,David,Jones,36,20041102/DENLAL,0020400003,"TUESDAY, NOVEMBER 2, 2004"
1153,Joe,Crawford,17,20041102/DENLAL,0020400003,"TUESDAY, NOVEMBER 2, 2004"
1151,Sean,Corbin,33,20041103/HOUTOR,0020400004,"WEDNESDAY, NOVEMBER 3, 2004"
1154,Bob,Delaney,26,20041103/HOUTOR,0020400004,"WEDNESDAY, NOVEMBER 3, 2004"
2005,Matt,Boland,46,20041103/HOUTOR,0020400004,"WEDNESDAY, NOVEMBER 3, 2004"
1147,Mike,Callahan,24,20041103/MILORL,0020400005,"WEDNESDAY, NOVEMBER 3, 2004"
1148,James,Capers,19,20041103/MILORL,0020400005,"WEDNESDAY, NOVEMBER 3, 2004"
1189,Phil,Robinson,70,20041103/MILORL,0020400005,"WEDNESDAY, NOVEMBER 3, 2004"
1174,Ken,Mauer,41,20041103/INDCLE,0020400006,"WEDNESDAY, NOVEMBER 3, 2004"
2530,Ed,Malloy,73,20041103/INDCLE,0020400006,"WEDNESDAY, NOVEMBER 3, 2004"
1200,Greg,Willard,57,20041103/INDCLE,0020400006,"WEDNESDAY, NOVEMBER 3, 2004"
1185,Violet,Palmer,12,20041103/PHIBOS,0020400007,"WEDNESDAY, NOVEMBER 3, 2004"
1159,Kevin,Fehr,39,20041103/PHIBOS,0020400007,"WEDNESDAY, NOVEMBER 3, 2004"
