FIRST_NAME,GAMECODE,GAME_DATE,GAME_ID,JERSEY_NUM,LAST_NAME,OFFICIAL_ID
Monty,19971031/ATLORL,"FRIDAY, OCTOBER 31, 1997",0029700004,58,McCutchen,1176.0
Bennett,19971031/ATLORL,"FRIDAY, OCTOBER 31, 1997",0029700004,15,Salvatore,1192.0
Terry,19971031/ATLORL,"FRIDAY, OCTOBER 31, 1997",0029700004,31,Durham,1157.0
Bill,19971031/SEAPOR,"FRIDAY, OCTOBER 31, 1997",0029700013,22,Spooner,1194.0
Dick,19971031/SEAPOR,"FRIDAY, OCTOBER 31, 1997",0029700013,27,Bavetta,1142.0
Jimmy,19971031/SEAPOR,"FRIDAY, OCTOBER 31, 1997",0029700013,6,Clark,1150.0
Dick,19971101/SACVAN,"SATURDAY, NOVEMBER 1, 1997",0029700025,27,Bavetta,1142.0
Kevin,19971101/SACVAN,"SATURDAY, NOVEMBER 1, 1997",0029700025,62,Fehr,1159.0
Jimmy,19971101/SACVAN,"SATURDAY, NOVEMBER 1, 1997",0029700025,6,Clark,1150.0
Tom,19971104/MINPOR,"TUESDAY, NOVEMBER 4, 1997",0029700041,49,Washington,1199.0
Bennie,19971104/MINPOR,"TUESDAY, NOVEMBER 4, 1997",0029700041,47,Adams,1363.0
Hugh,19971104/MINPOR,"TUESDAY, NOVEMBER 4, 1997",0029700041,25,Evans,1158.0
Nolan,19971107/CHHWAS,"FRIDAY, NOVEMBER 7, 1997",0029700056,50,Fine,1160.0
Derrick,19971107/CHHWAS,"FRIDAY, NOVEMBER 7, 1997",0029700056,14,Stafford,1195.0
Bruce,19971107/CHHWAS,"FRIDAY, NOVEMBER 7, 1997",0029700056,9,Alexander,1140.0
Bill,19971111/SASMIN,"TUESDAY, NOVEMBER 11, 1997",0029700085,22,Spooner,1194.0
Kevin,19971111/SASMIN,"TUESDAY, NOVEMBER 11, 1997",0029700085,62,Fehr,1159.0
Steve,19971111/SASMIN,"TUESDAY, NOVEMBER 11, 1997",0029700085,29,Javie,1167.0
David,19971115/ORLWAS,"SATURDAY, NOVEMBER 15, 1997",0029700113,36,Jones,1168.0
Sean,19971115/ORLWAS,"SATURDAY, NOVEMBER 15, 1997",0029700113,64,Corbin,1151.0
Dick,19971115/ORLWAS,"SATURDAY, NOVEMBER 15, 1997",0029700113,27,Bavetta,1142.0
Ron,19971119/MINLAL,"WEDNESDAY, NOVEMBER 19, 1997",0029700144,44,Olesiak,1184.0
Steve,19971119/MINLAL,"WEDNESDAY, NOVEMBER 19, 1997",0029700144,29,Javie,1167.0
Leroy,19971119/MINLAL,"WEDNESDAY, NOVEMBER 19, 1997",0029700144,51,Richardson,1188.0
Derek,19971122/SASUTA,"SATURDAY, NOVEMBER 22, 1997",0029700169,63,Richardson,1204.0
Bruce,19971122/SASUTA,"SATURDAY, NOVEMBER 22, 1997",0029700169,9,Alexander,1140.0
Hue,19971122/SASUTA,"SATURDAY, NOVEMBER 22, 1997",0029700169,42,Hollins,1166.0
David,19971125/DETCHH,"TUESDAY, NOVEMBER 25, 1997",0029700178,36,Jones,1168.0
Bill,19971125/DETCHH,"TUESDAY, NOVEMBER 25, 1997",0029700178,22,Spooner,1194.0
Steve,19971125/DETCHH,"TUESDAY, NOVEMBER 25, 1997",0029700178,29,Javie,1167.0
Bernie,19971206/MINWAS,"SATURDAY, DECEMBER 6, 1997",0029700254,7,Fryer,1163.0
Derek,19971206/MINWAS,"SATURDAY, DECEMBER 6, 1997",0029700254,63,Richardson,1204.0
Derrick,19971206/MINWAS,"SATURDAY, DECEMBER 6, 1997",0029700254,14,Stafford,1195.0
Ken,19971207/DETTOR,"SUNDAY, DECEMBER 7, 1997",0029700258,41,Mauer,1174.0
Michael,19971207/DETTOR,"SUNDAY, DECEMBER 7, 1997",0029700258,59,Smith,1193.0
Jack,19971207/DETTOR,"SUNDAY, DECEMBER 7, 1997",0029700258,35,Nies,1180.0
David,19971210/WASCHH,"WEDNESDAY, DECEMBER 10, 1997",0029700281,36,Jones,1168.0
Sean,19971210/WASCHH,"WEDNESDAY, DECEMBER 10, 1997",0029700281,64,Corbin,1151.0
Steve,19971210/WASCHH,"WEDNESDAY, DECEMBER 10, 1997",0029700281,29,Javie,1167.0
Leon,19971223/DALCLE,"TUESDAY, DECEMBER 23, 1997",0029700374,40,Wood,1201.0
