FIRST_NAME,GAMECODE,GAME_DATE,GAME_ID,JERSEY_NUM,LAST_NAME,OFFICIAL_ID
James,20071030/PORSAS,"TUESDAY, OCTOBER 30, 2007",0020700001,19,Capers,1148.0
Tommy,20071030/PORSAS,"TUESDAY, OCTOBER 30, 2007",0020700001,28,Nunez Jr.,2878.0
Jimmy,20071030/PORSAS,"TUESDAY, OCTOBER 30, 2007",0020700001,6,Clark,1150.0
Rodney,20071030/HOULAL,"TUESDAY, OCTOBER 30, 2007",0020700002,71,Mott,1179.0
Bennie,20071030/HOULAL,"TUESDAY, OCTOBER 30, 2007",0020700002,47,Adams,1363.0
Jack,20071030/HOULAL,"TUESDAY, OCTOBER 30, 2007",0020700002,35,Nies,1180.0
Ron,20071030/UTAGSW,"TUESDAY, OCTOBER 30, 2007",0020700003,10,Garretson,1164.0
Jason,20071030/UTAGSW,"TUESDAY, OCTOBER 30, 2007",0020700003,23,Phillips,2001.0
Mark,20071030/UTAGSW,"TUESDAY, OCTOBER 30, 2007",0020700003,56,Ayotte,2148.0
Leroy,20071031/PHITOR,"WEDNESDAY, OCTOBER 31, 2007",0020700004,51,Richardson,1188.0
Dick,20071031/PHITOR,"WEDNESDAY, OCTOBER 31, 2007",0020700004,27,Bavetta,1142.0
Violet,20071031/PHITOR,"WEDNESDAY, OCTOBER 31, 2007",0020700004,12,Palmer,1185.0
JB,20071031/MILORL,"WEDNESDAY, OCTOBER 31, 2007",0020700005,14,DeRosa,1155.0
Matt,20071031/MILORL,"WEDNESDAY, OCTOBER 31, 2007",0020700005,46,Boland,2005.0
Derrick,20071031/MILORL,"WEDNESDAY, OCTOBER 31, 2007",0020700005,54,Collins,2002.0
Olandis,20071031/WASIND,"WEDNESDAY, OCTOBER 31, 2007",0020700006,50,Poole,2716.0
Derrick,20071031/WASIND,"WEDNESDAY, OCTOBER 31, 2007",0020700006,9,Stafford,1195.0
Joe,20071031/WASIND,"WEDNESDAY, OCTOBER 31, 2007",0020700006,17,Crawford,1153.0
Gary,20071031/CHINJN,"WEDNESDAY, OCTOBER 31, 2007",0020700007,59,Zielinski,1664.0
Bennett,20071031/CHINJN,"WEDNESDAY, OCTOBER 31, 2007",0020700007,15,Salvatore,1192.0
