GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,WH_STATUS,GAME_DATE,ATTENDANCE,GAME_TIME
2006-10-31T00:00:00,1,0020600001,3,Final,20061031/CHIMIA,1610612748,1610612741,2006,4, ,TNT,Q4   - TNT,1,"TUESDAY, OCTOBER 31, 2006",20229,2:26
2006-10-31T00:00:00,2,0020600002,3,Final,20061031/PHXLAL,1610612747,1610612756,2006,4, ,TNT,Q4   - TNT,1,"TUESDAY, OCTOBER 31, 2006",18997,2:20
2006-11-01T00:00:00,0,0020600003,3,Final,20061101/ATLPHI,1610612755,1610612737,2006,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 1, 2006",17119,2:20
2006-11-01T00:00:00,0,0020600004,3,Final,20061101/INDCHA,1610612766,1610612754,2006,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 1, 2006",18518,2:30
2006-11-01T00:00:00,0,0020600005,3,Final,20061101/CHIORL,1610612753,1610612741,2006,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 1, 2006",17451,2:27
2006-11-01T00:00:00,0,0020600006,3,Final,20061101/NOKBOS,1610612738,1610612740,2006,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 1, 2006",18624,2:33
2006-11-01T00:00:00,0,0020600007,3,Final,20061101/TORNJN,1610612751,1610612761,2006,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 1, 2006",18646,2:12
2006-11-01T00:00:00,0,0020600008,3,Final,20061101/MILDET,1610612765,1610612749,2006,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 1, 2006",22076,2:20
2006-11-01T00:00:00,0,0020600009,3,Final,20061101/WASCLE,1610612739,1610612764,2006,4, ,ESPN,Q4   - ESPN,1,"WEDNESDAY, NOVEMBER 1, 2006",20562,2:32
2006-11-01T00:00:00,0,0020600010,3,Final,20061101/NYKMEM,1610612763,1610612752,2006,7, ,,Q7   - ,1,"WEDNESDAY, NOVEMBER 1, 2006",17113,3:29
2006-11-01T00:00:00,0,0020600011,3,Final,20061101/SACMIN,1610612750,1610612758,2006,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 1, 2006",19356,2:11
2006-11-01T00:00:00,0,0020600012,3,Final,20061101/HOUUTA,1610612762,1610612745,2006,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 1, 2006",18133,2:15
2006-11-01T00:00:00,0,0020600013,3,Final,20061101/PORSEA,1610612760,1610612757,2006,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 1, 2006",17072,2:22
2006-11-01T00:00:00,0,0020600014,3,Final,20061101/LACPHX,1610612756,1610612746,2006,4, ,ESPN,Q4   - ESPN,1,"WEDNESDAY, NOVEMBER 1, 2006",18422,2:32
2006-11-01T00:00:00,0,0020600015,3,Final,20061101/LALGSW,1610612744,1610612747,2006,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 1, 2006",19596,2:24
2006-11-02T00:00:00,1,0020600016,3,Final,20061102/SASDAL,1610612742,1610612759,2006,4, ,TNT,Q4   - TNT,1,"THURSDAY, NOVEMBER 2, 2006",20416,2:36
2006-11-02T00:00:00,0,0020600017,3,Final,20061102/DENLAC,1610612746,1610612743,2006,4, ,TNT,Q4   - TNT,1,"THURSDAY, NOVEMBER 2, 2006",18050,2:41
