GAMECODE,GAME_DATE_EST,GAME_ID,GAME_SEQUENCE,GAME_STATUS_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,LIVE_PC_TIME,LIVE_PERIOD,LIVE_PERIOD_TIME_BCAST,NATL_TV_BROADCASTER_ABBREVIATION,SEASON,VISITOR_TEAM_ID,WH_STATUS,ATTENDANCE,GAME_DATE,GAME_TIME
20191026/WASSAS,2019-10-26T00:00:00,21900033,8,3,Final,1610612759,     ,4,Q4       - ,,2019,1610612764,1,18354,"SATURDAY, OCTOBER 26, 2019",2:10
20191026/SACUTA,2019-10-26T00:00:00,21900034,9,3,Final,1610612762,     ,4,Q4       - ,,2019,1610612758,1,18306,"SATURDAY, OCTOBER 26, 2019",2:03
20191026/LACPHX,2019-10-26T00:00:00,21900035,10,3,Final,1610612756,     ,4,Q4       - NBA TV,NBA TV,2019,1610612746,1,15802,"SATURDAY, OCTOBER 26, 2019",2:39
20191027/GSWOKC,2019-10-27T00:00:00,21900036,1,3,Final,1610612760,     ,4,Q4       - ,,2019,1610612744,1,18203,"SUNDAY, OCTOBER 27, 2019",2:12
20191027/BKNMEM,2019-10-27T00:00:00,21900037,2,3,Final,1610612763,     ,5,Q5       - ,,2019,1610612751,1,15517,"SUNDAY, OCTOBER 27, 2019",2:42
20191027/PORDAL,2019-10-27T00:00:00,21900038,3,3,Final,1610612742,     ,4,Q4       - ,,2019,1610612757,1,19707,"SUNDAY, OCTOBER 27, 2019",2:28
20191027/MIAMIN,2019-10-27T00:00:00,21900039,4,3,Final,1610612750,     ,4,Q4       - ,,2019,1610612748,1,17049,"SUNDAY, OCTOBER 27, 2019",2:16
20191027/CHALAL,2019-10-27T00:00:00,21900040,5,3,Final,1610612747,     ,4,Q4       - ,,2019,1610612766,1,18997,"SUNDAY, OCTOBER 27, 2019",2:17
20191028/INDDET,2019-10-28T00:00:00,21900041,1,3,Final,1610612765,     ,4,Q4       - ,,2019,1610612754,1,13565,"MONDAY, OCTOBER 28, 2019",2:09
20191028/CHINYK,2019-10-28T00:00:00,21900042,2,3,Final,1610612752,     ,4,Q4       - ,,2019,1610612741,1,19812,"MONDAY, OCTOBER 28, 2019",2:18
20191028/PHIATL,2019-10-28T00:00:00,21900043,3,3,Final,1610612737,     ,4,Q4       - ,,2019,1610612755,1,14094,"MONDAY, OCTOBER 28, 2019",2:35
20191028/ORLTOR,2019-10-28T00:00:00,21900044,4,3,Final,1610612761,     ,4,Q4       - ,,2019,1610612753,1,19800,"MONDAY, OCTOBER 28, 2019",2:17
20191028/OKCHOU,2019-10-28T00:00:00,21900045,5,3,Final,1610612745,     ,4,Q4       - ,,2019,1610612760,1,18055,"MONDAY, OCTOBER 28, 2019",2:23
20191028/CLEMIL,2019-10-28T00:00:00,21900046,6,3,Final,1610612749,     ,4,Q4       - ,,2019,1610612739,1,17385,"MONDAY, OCTOBER 28, 2019",2:05
20191028/GSWNOP,2019-10-28T00:00:00,21900047,7,3,Final,1610612740,     ,4,Q4       - NBA TV,NBA TV,2019,1610612744,1,17307,"MONDAY, OCTOBER 28, 2019",2:13
20191028/PORSAS,2019-10-28T00:00:00,21900048,8,3,Final,1610612759,     ,4,Q4       - ,,2019,1610612757,1,18083,"MONDAY, OCTOBER 28, 2019",2:19
20191028/UTAPHX,2019-10-28T00:00:00,21900049,9,3,Final,1610612756,     ,4,Q4       - ,,2019,1610612762,1,14805,"MONDAY, OCTOBER 28, 2019",2:31
20191028/DENSAC,2019-10-28T00:00:00,21900050,10,3,Final,1610612758,     ,4,Q4       - ,,2019,1610612743,1,15870,"MONDAY, OCTOBER 28, 2019",2:16
20191028/CHALAC,2019-10-28T00:00:00,21900051,11,3,Final,1610612746,     ,4,Q4       - NBA TV,NBA TV,2019,1610612766,1,19068,"MONDAY, OCTOBER 28, 2019",2:11
20191029/ATLMIA,2019-10-29T00:00:00,21900052,1,3,Final,1610612748,     ,4,Q4       - NBA TV,NBA TV,2019,1610612737,1,19600,"TUESDAY, OCTOBER 29, 2019",2:22
20191029/DALDEN,2019-10-29T00:00:00,21900053,2,3,Final,1610612743,     ,4,Q4       - ,,2019,1610612742,1,16605,"TUESDAY, OCTOBER 29, 2019",2:15
20191029/MEMLAL,2019-10-29T00:00:00,21900054,3,3,Final,1610612747,     ,4,Q4       - NBA TV,NBA TV,2019,1610612763,1,18997,"TUESDAY, OCTOBER 29, 2019",2:20
20191030/CHICLE,2019-10-30T00:00:00,21900055,1,3,Final,1610612739,     ,4,Q4       - ,,2019,1610612741,1,17595,"WEDNESDAY, OCTOBER 30, 2019",2:20
20191030/NYKORL,2019-10-30T00:00:00,21900056,2,3,Final,1610612753,     ,4,Q4       - ,,2019,1610612752,1,17456,"WEDNESDAY, OCTOBER 30, 2019",2:04
20191030/MINPHI,2019-10-30T00:00:00,21900057,3,3,Final,1610612755,     ,4,Q4       - ,,2019,1610612750,1,20204,"WEDNESDAY, OCTOBER 30, 2019",2:22
20191030/MILBOS,2019-10-30T00:00:00,21900058,4,3,Final,1610612738,     ,4,Q4       - ESPN,ESPN,2019,1610612749,1,18624,"WEDNESDAY, OCTOBER 30, 2019",2:25
20191030/INDBKN,2019-10-30T00:00:00,21900059,5,3,Final,1610612751,     ,4,Q4       - ,,2019,1610612754,1,17083,"WEDNESDAY, OCTOBER 30, 2019",2:16
20191030/DETTOR,2019-10-30T00:00:00,21900060,6,3,Final,1610612761,     ,4,Q4       - ,,2019,1610612765,1,19800,"WEDNESDAY, OCTOBER 30, 2019",2:07
20191030/HOUWAS,2019-10-30T00:00:00,21900061,7,3,Final,1610612764,     ,4,Q4       - ,,2019,1610612745,1,20476,"WEDNESDAY, OCTOBER 30, 2019",2:31
20191030/POROKC,2019-10-30T00:00:00,21900062,8,3,Final,1610612760,     ,4,Q4       - ,,2019,1610612757,1,18203,"WEDNESDAY, OCTOBER 30, 2019",2:18
20191030/LACUTA,2019-10-30T00:00:00,21900063,9,3,Final,1610612762,     ,4,Q4       - ESPN,ESPN,2019,1610612746,1,18306,"WEDNESDAY, OCTOBER 30, 2019",2:16
20191030/CHASAC,2019-10-30T00:00:00,21900064,10,3,Final,1610612758,     ,4,Q4       - ,,2019,1610612766,1,15416,"WEDNESDAY, OCTOBER 30, 2019",2:03
20191030/PHXGSW,2019-10-30T00:00:00,21900065,11,3,Final,1610612744,     ,4,Q4       - ,,2019,1610612756,1,18064,"WEDNESDAY, OCTOBER 30, 2019",2:17
20191031/MIAATL,2019-10-31T00:00:00,21900066,1,3,Final,1610612737,     ,4,Q4       - TNT,TNT,2019,1610612748,1,16539,"THURSDAY, OCTOBER 31, 2019",2:16
20191031/DENNOP,2019-10-31T00:00:00,21900067,2,3,Final,1610612740,     ,4,Q4       - TNT,TNT,2019,1610612743,1,16613,"THURSDAY, OCTOBER 31, 2019",2:20
20191031/SASLAC,2019-10-31T00:00:00,21900068,3,3,Final,1610612746,     ,4,Q4       - ,,2019,1610612759,1,19068,"THURSDAY, OCTOBER 31, 2019",2:17
20191101/HOUBKN,2019-11-01T00:00:00,21900069,1,3,Final,1610612751,     ,4,Q4       - ESPN,ESPN,2019,1610612745,1,17732,"FRIDAY, NOVEMBER 1, 2019",2:19
20191101/CLEIND,2019-11-01T00:00:00,21900070,2,3,Final,1610612754,     ,4,Q4       - ,,2019,1610612739,1,16079,"FRIDAY, NOVEMBER 1, 2019",2:19
20191101/MILORL,2019-11-01T00:00:00,21900071,3,3,Final,1610612753,     ,4,Q4       - ,,2019,1610612749,1,15105,"FRIDAY, NOVEMBER 1, 2019",2:03
20191101/NYKBOS,2019-11-01T00:00:00,21900072,4,3,Final,1610612738,     ,4,Q4       - ,,2019,1610612752,1,18624,"FRIDAY, NOVEMBER 1, 2019",2:18
20191101/DETCHI,2019-11-01T00:00:00,21900073,5,3,Final,1610612741,     ,4,Q4       - ,,2019,1610612765,1,20671,"FRIDAY, NOVEMBER 1, 2019",2:18
20191101/LALDAL,2019-11-01T00:00:00,21900074,6,3,Final,1610612742,     ,5,Q5       - ESPN,ESPN,2019,1610612747,1,20358,"FRIDAY, NOVEMBER 1, 2019",2:41
