OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAMECODE,GAME_ID,GAME_DATE
1198,Scott,Wall,60,20031028/MIAPHI,0020300001,"TUESDAY, OCTOBER 28, 2003"
1192,Bennett,Salvatore,15,20031028/MIAPHI,0020300001,"TUESDAY, OCTOBER 28, 2003"
1186,Blane,Reichelt,37,20031028/MIAPHI,0020300001,"TUESDAY, OCTOBER 28, 2003"
1195,Derrick,Stafford,9,20031028/PHXSAS,0020300002,"TUESDAY, OCTOBER 28, 2003"
1159,Kevin,Fehr,39,20031028/PHXSAS,0020300002,"TUESDAY, OCTOBER 28, 2003"
1167,Steve,Javie,29,20031028/PHXSAS,0020300002,"TUESDAY, OCTOBER 28, 2003"
1153,Joe,Crawford,17,20031028/DALLAL,0020300003,"TUESDAY, OCTOBER 28, 2003"
1203,Mark,Wunderlich,18,20031028/DALLAL,0020300003,"TUESDAY, OCTOBER 28, 2003"
1189,Phil,Robinson,70,20031028/DALLAL,0020300003,"TUESDAY, OCTOBER 28, 2003"
2530,Ed,Malloy,73,20031029/MIABOS,0020300004,"WEDNESDAY, OCTOBER 29, 2003"
1155,JB,DeRosa,14,20031029/MIABOS,0020300004,"WEDNESDAY, OCTOBER 29, 2003"
1826,Jess,Kersey,20,20031029/MIABOS,0020300004,"WEDNESDAY, OCTOBER 29, 2003"
1154,Bob,Delaney,26,20031029/ORLNYK,0020300005,"WEDNESDAY, OCTOBER 29, 2003"
1151,Sean,Corbin,33,20031029/ORLNYK,0020300005,"WEDNESDAY, OCTOBER 29, 2003"
2002,Derrick,Collins,54,20031029/ORLNYK,0020300005,"WEDNESDAY, OCTOBER 29, 2003"
1144,Ted,Bernhardt,16,20031029/ATLNOH,0020300006,"WEDNESDAY, OCTOBER 29, 2003"
1193,Michael,Smith,38,20031029/ATLNOH,0020300006,"WEDNESDAY, OCTOBER 29, 2003"
1142,Dick,Bavetta,27,20031029/ATLNOH,0020300006,"WEDNESDAY, OCTOBER 29, 2003"
1190,Eddie,Rush,32,20031029/NJNTOR,0020300007,"WEDNESDAY, OCTOBER 29, 2003"
1165,Luis,Grillo,8,20031029/NJNTOR,0020300007,"WEDNESDAY, OCTOBER 29, 2003"
2147,Michael,Henderson,62,20031029/NJNTOR,0020300007,"WEDNESDAY, OCTOBER 29, 2003"
1148,James,Capers,19,20031029/INDDET,0020300008,"WEDNESDAY, OCTOBER 29, 2003"
2529,Tony,Brown,68,20031029/INDDET,0020300008,"WEDNESDAY, OCTOBER 29, 2003"
1200,Greg,Willard,57,20031029/INDDET,0020300008,"WEDNESDAY, OCTOBER 29, 2003"
2003,Pat,Fraher,52,20031029/MILMIN,0020300009,"WEDNESDAY, OCTOBER 29, 2003"
1168,David,Jones,36,20031029/MILMIN,0020300009,"WEDNESDAY, OCTOBER 29, 2003"
1163,Bernie,Fryer,7,20031029/MILMIN,0020300009,"WEDNESDAY, OCTOBER 29, 2003"
1201,Leon,Wood,40,20031029/WASCHI,0020300010,"WEDNESDAY, OCTOBER 29, 2003"
1180,Jack,Nies,35,20031029/WASCHI,0020300010,"WEDNESDAY, OCTOBER 29, 2003"
2531,Troy,Raymond,56,20031029/WASCHI,0020300010,"WEDNESDAY, OCTOBER 29, 2003"
1664,Gary,Zielinski,59,20031029/SASDEN,0020300011,"WEDNESDAY, OCTOBER 29, 2003"
1162,Scott,Foster,48,20031029/SASDEN,0020300011,"WEDNESDAY, OCTOBER 29, 2003"
1147,Mike,Callahan,24,20031029/SASDEN,0020300011,"WEDNESDAY, OCTOBER 29, 2003"
1203,Mark,Wunderlich,18,20031029/PORUTA,0020300012,"WEDNESDAY, OCTOBER 29, 2003"
1189,Phil,Robinson,70,20031029/PORUTA,0020300012,"WEDNESDAY, OCTOBER 29, 2003"
1156,Tim,Donaghy,21,20031029/PORUTA,0020300012,"WEDNESDAY, OCTOBER 29, 2003"
1174,Ken,Mauer,41,20031029/DALGSW,0020300013,"WEDNESDAY, OCTOBER 29, 2003"
1179,Rodney,Mott,71,20031029/DALGSW,0020300013,"WEDNESDAY, OCTOBER 29, 2003"
1161,Joe,Forte,45,20031029/DALGSW,0020300013,"WEDNESDAY, OCTOBER 29, 2003"
1204,Derek,Richardson,63,20031029/CLESAC,0020300014,"WEDNESDAY, OCTOBER 29, 2003"
1164,Ron,Garretson,10,20031029/CLESAC,0020300014,"WEDNESDAY, OCTOBER 29, 2003"
1363,Bennie,Adams,47,20031029/CLESAC,0020300014,"WEDNESDAY, OCTOBER 29, 2003"
1176,Monty,McCutchen,13,20031030/LACSEA,0020300015,"THURSDAY, OCTOBER 30, 2003"
1188,Leroy,Richardson,51,20031030/LACSEA,0020300015,"THURSDAY, OCTOBER 30, 2003"
1194,Bill,Spooner,22,20031030/LACSEA,0020300015,"THURSDAY, OCTOBER 30, 2003"
1152,Dan,Crawford,43,20031030/NOHORL,0020300016,"THURSDAY, OCTOBER 30, 2003"
