GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,WH_STATUS,GAME_DATE,ATTENDANCE,GAME_TIME
2005-11-01T00:00:00,1,0020500001,3,Final,20051101/MILPHI,1610612755,1610612749,2005,5, ,,Q5   - ,1,"TUESDAY, NOVEMBER 1, 2005",17705,2:33
2005-11-01T00:00:00,3,0020500002,3,Final,20051101/DENSAS,1610612759,1610612743,2005,4, ,TNT,Q4   - TNT,1,"TUESDAY, NOVEMBER 1, 2005",18797,2:21
2005-11-01T00:00:00,4,0020500003,3,Final,20051101/DALPHX,1610612756,1610612742,2005,6, ,TNT,Q6   - TNT,1,"TUESDAY, NOVEMBER 1, 2005",17961,3:07
2005-11-02T00:00:00,2,0020500004,3,Final,20051102/WASTOR,1610612761,1610612764,2005,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 2, 2005",18106,2:22
2005-11-02T00:00:00,3,0020500005,3,Final,20051102/INDORL,1610612753,1610612754,2005,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 2, 2005",17283,2:23
2005-11-02T00:00:00,4,0020500006,3,Final,20051102/NOKCLE,1610612739,1610612740,2005,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 2, 2005",20562,2:12
2005-11-02T00:00:00,5,0020500007,3,Final,20051102/NYKBOS,1610612738,1610612752,2005,5, ,,Q5   - ,1,"WEDNESDAY, NOVEMBER 2, 2005",18624,2:42
2005-11-02T00:00:00,0,0020500008,3,Final,20051102/MILNJN,1610612751,1610612749,2005,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 2, 2005",20098,2:27
2005-11-02T00:00:00,1,0020500009,3,Final,20051102/PHIDET,1610612765,1610612755,2005,4, ,ESPN,Q4   - ESPN,1,"WEDNESDAY, NOVEMBER 2, 2005",22076,2:16
2005-11-02T00:00:00,7,0020500010,3,Final,20051102/MIAMEM,1610612763,1610612748,2005,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 2, 2005",18119,2:09
2005-11-02T00:00:00,8,0020500011,3,Final,20051102/PORMIN,1610612750,1610612757,2005,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 2, 2005",16799,2:16
2005-11-02T00:00:00,9,0020500012,3,Final,20051102/CHACHI,1610612741,1610612766,2005,5, ,,Q5   - ,1,"WEDNESDAY, NOVEMBER 2, 2005",19251,2:42
2005-11-02T00:00:00,10,0020500013,3,Final,20051102/SACHOU,1610612745,1610612758,2005,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 2, 2005",16457,2:18
2005-11-02T00:00:00,11,0020500014,3,Final,20051102/DALUTA,1610612762,1610612742,2005,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 2, 2005",18249,2:18
2005-11-02T00:00:00,12,0020500015,3,Final,20051102/LACSEA,1610612760,1610612746,2005,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 2, 2005",16515,2:23
2005-11-02T00:00:00,13,0020500016,3,Final,20051102/LALDEN,1610612743,1610612747,2005,5, ,ESPN,Q5   - ESPN,1,"WEDNESDAY, NOVEMBER 2, 2005",19245,3:04
2005-11-02T00:00:00,14,0020500017,3,Final,20051102/ATLGSW,1610612744,1610612737,2005,4, ,,Q4   - ,1,"WEDNESDAY, NOVEMBER 2, 2005",18629,2:22
2005-11-03T00:00:00,1,0020500018,3,Final,20051103/INDMIA,1610612748,1610612754,2005,4, ,TNT,Q4   - TNT,1,"THURSDAY, NOVEMBER 3, 2005",20128,2:56
2005-11-03T00:00:00,2,0020500019,3,Final,20051103/PHXLAL,1610612747,1610612756,2005,4, ,TNT,Q4   - TNT,1,"THURSDAY, NOVEMBER 3, 2005",18997,2:35
2005-11-04T00:00:00,1,0020500020,3,Final,20051104/NJNTOR,1610612761,1610612751,2005,4, ,,Q4   - ,1,"FRIDAY, NOVEMBER 4, 2005",18586,2:13
2005-11-04T00:00:00,2,0020500021,3,Final,20051104/CHAPHI,1610612755,1610612766,2005,4, ,,Q4   - ,1,"FRIDAY, NOVEMBER 4, 2005",14654,2:19
2005-11-04T00:00:00,3,0020500022,3,Final,20051104/MEMORL,1610612753,1610612763,2005,4, ,,Q4   - ,1,"FRIDAY, NOVEMBER 4, 2005",14942,2:23
2005-11-04T00:00:00,4,0020500023,3,Final,20051104/DETBOS,1610612738,1610612765,2005,4, ,,Q4   - ,1,"FRIDAY, NOVEMBER 4, 2005",16642,2:18
2005-11-04T00:00:00,5,0020500024,3,Final,20051104/WASNYK,1610612752,1610612764,2005,4, ,,Q4   - ,1,"FRIDAY, NOVEMBER 4, 2005",19763,2:13
2005-11-01T00:00:00,2,0020500025,3,Final,20051101/SACNOK,1610612740,1610612758,2005,4, ,,Q4   - ,1,"TUESDAY, NOVEMBER 1, 2005",19163,2:06
2005-11-04T00:00:00,6,0020500026,3,Final,20051104/CLESAS,1610612759,1610612739,2005,4, ,ESPN,Q4   - ESPN,1,"FRIDAY, NOVEMBER 4, 2005",18797,2:18
2005-11-04T00:00:00,7,0020500027,3,Final,20051104/PORDEN,1610612743,1610612757,2005,4, ,,Q4   - ,1,"FRIDAY, NOVEMBER 4, 2005",15595,2:02
2005-11-04T00:00:00,8,0020500028,3,Final,20051104/ATLLAC,1610612746,1610612737,2005,4, ,,Q4   - ,1,"FRIDAY, NOVEMBER 4, 2005",16813,2:16
2005-11-04T00:00:00,9,0020500029,3,Final,20051104/UTAGSW,1610612744,1610612762,2005,4, ,,Q4   - ,1,"FRIDAY, NOVEMBER 4, 2005",18416,2:19
2005-11-04T00:00:00,10,0020500030,3,Final,20051104/MINSEA,1610612760,1610612750,2005,5, ,ESPN,Q5   - ESPN,1,"FRIDAY, NOVEMBER 4, 2005",17072,2:54
2005-11-05T00:00:00,1,0020500031,3,Final,20051105/ORLWAS,1610612764,1610612753,2005,4, ,,Q4   - ,1,"SATURDAY, NOVEMBER 5, 2005",20173,2:28
2005-11-05T00:00:00,2,0020500032,3,Final,20051105/CHINJN,1610612751,1610612741,2005,4, ,,Q4   - ,1,"SATURDAY, NOVEMBER 5, 2005",16898,2:30
2005-11-05T00:00:00,3,0020500033,3,Final,20051105/BOSCHA,1610612766,1610612738,2005,5, ,,Q5   - ,1,"SATURDAY, NOVEMBER 5, 2005",19026,2:55
2005-11-05T00:00:00,4,0020500034,3,Final,20051105/TORDET,1610612765,1610612761,2005,4, ,,Q4   - ,1,"SATURDAY, NOVEMBER 5, 2005",22076,2:14
2005-11-05T00:00:00,5,0020500035,3,Final,20051105/PHIIND,1610612754,1610612755,2005,4, ,NBA TV,Q4   - NBA TV,1,"SATURDAY, NOVEMBER 5, 2005",18345,2:20
2005-11-05T00:00:00,6,0020500036,3,Final,20051105/CLEMEM,1610612763,1610612739,2005,4, ,,Q4   - ,1,"SATURDAY, NOVEMBER 5, 2005",17368,2:23
2005-11-05T00:00:00,7,0020500037,3,Final,20051105/MIAMIL,1610612749,1610612748,2005,4, ,,Q4   - ,1,"SATURDAY, NOVEMBER 5, 2005",18717,2:17
2005-11-05T00:00:00,8,0020500038,3,Final,20051105/NOKHOU,1610612745,1610612740,2005,4, ,,Q4   - ,1,"SATURDAY, NOVEMBER 5, 2005",15875,2:30
2005-11-05T00:00:00,9,0020500039,3,Final,20051105/SASDAL,1610612742,1610612759,2005,4, ,,Q4   - ,1,"SATURDAY, NOVEMBER 5, 2005",20468,2:14
2005-11-05T00:00:00,10,0020500040,3,Final,20051105/PHXUTA,1610612762,1610612756,2005,4, ,,Q4   - ,1,"SATURDAY, NOVEMBER 5, 2005",18608,2:12
2005-11-05T00:00:00,11,0020500041,3,Final,20051105/ATLPOR,1610612757,1610612737,2005,4, ,,Q4   - ,1,"SATURDAY, NOVEMBER 5, 2005",18918,2:28
2005-11-05T00:00:00,12,0020500042,3,Final,20051105/MINLAC,1610612746,1610612750,2005,5, ,NBA TV,Q5   - NBA TV,1,"SATURDAY, NOVEMBER 5, 2005",16212,2:38
2005-11-06T00:00:00,1,0020500043,3,Final,20051106/GSWNYK,1610612752,1610612744,2005,4, ,,Q4   - ,1,"SUNDAY, NOVEMBER 6, 2005",16221,2:19
2005-11-06T00:00:00,2,0020500044,3,Final,20051106/SACPHX,1610612756,1610612758,2005,4, ,,Q4   - ,1,"SUNDAY, NOVEMBER 6, 2005",17298,2:15
2005-11-06T00:00:00,3,0020500045,3,Final,20051106/DENLAL,1610612747,1610612743,2005,4, ,NBA TV,Q4   - NBA TV,1,"SUNDAY, NOVEMBER 6, 2005",18997,2:26
2005-11-07T00:00:00,1,0020500046,3,Final,20051107/CLETOR,1610612761,1610612739,2005,4, ,,Q4   - ,1,"MONDAY, NOVEMBER 7, 2005",18281,2:16
2005-11-07T00:00:00,2,0020500047,3,Final,20051107/UTACHA,1610612766,1610612762,2005,5, ,,Q5   - ,1,"MONDAY, NOVEMBER 7, 2005",14872,2:49
2005-11-07T00:00:00,3,0020500048,3,Final,20051107/NJNMIA,1610612748,1610612751,2005,4, ,NBA TV,Q4   - NBA TV,1,"MONDAY, NOVEMBER 7, 2005",19600,2:18
2005-11-07T00:00:00,4,0020500049,3,Final,20051107/LACMIN,1610612750,1610612746,2005,4, ,,Q4   - ,1,"MONDAY, NOVEMBER 7, 2005",11791,2:11
2005-11-07T00:00:00,0,0020500050,3,Final,20051107/SASCHI,1610612741,1610612759,2005,5, ,,Q5   - ,1,"MONDAY, NOVEMBER 7, 2005",21827,2:28
2005-11-08T00:00:00,1,0020500051,3,Final,20051108/LALATL,1610612737,1610612747,2005,4, ,,Q4   - ,1,"TUESDAY, NOVEMBER 8, 2005",19523,2:33
