OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAMECODE,GAME_ID,GAME_DATE
1164,Ron,Garretson,10,20051101/MILPHI,0020500001,"TUESDAY, NOVEMBER 1, 2005"
1193,Michael,Smith,38,20051101/MILPHI,0020500001,"TUESDAY, NOVEMBER 1, 2005"
2001,Jason,Phillips,23,20051101/MILPHI,0020500001,"TUESDAY, NOVEMBER 1, 2005"
1152,Dan,Crawford,43,20051101/DENSAS,0020500002,"TUESDAY, NOVEMBER 1, 2005"
1199,Tom,Washington,49,20051101/DENSAS,0020500002,"TUESDAY, NOVEMBER 1, 2005"
2534,Zach,Zarba,58,20051101/DENSAS,0020500002,"TUESDAY, NOVEMBER 1, 2005"
1185,Violet,Palmer,12,20051101/DALPHX,0020500003,"TUESDAY, NOVEMBER 1, 2005"
1151,Sean,Corbin,33,20051101/DALPHX,0020500003,"TUESDAY, NOVEMBER 1, 2005"
1142,Dick,Bavetta,27,20051101/DALPHX,0020500003,"TUESDAY, NOVEMBER 1, 2005"
1147,Mike,Callahan,24,20051102/WASTOR,0020500004,"WEDNESDAY, NOVEMBER 2, 2005"
1146,Tony,Brothers,25,20051102/WASTOR,0020500004,"WEDNESDAY, NOVEMBER 2, 2005"
2530,Ed,Malloy,73,20051102/WASTOR,0020500004,"WEDNESDAY, NOVEMBER 2, 2005"
2004,Courtney,Kirkland,61,20051102/INDORL,0020500005,"WEDNESDAY, NOVEMBER 2, 2005"
1192,Bennett,Salvatore,15,20051102/INDORL,0020500005,"WEDNESDAY, NOVEMBER 2, 2005"
1203,Mark,Wunderlich,18,20051102/INDORL,0020500005,"WEDNESDAY, NOVEMBER 2, 2005"
1159,Kevin,Fehr,39,20051102/NOKCLE,0020500006,"WEDNESDAY, NOVEMBER 2, 2005"
1150,Jimmy,Clark,6,20051102/NOKCLE,0020500006,"WEDNESDAY, NOVEMBER 2, 2005"
1180,Jack,Nies,35,20051102/NOKCLE,0020500006,"WEDNESDAY, NOVEMBER 2, 2005"
1164,Ron,Garretson,10,20051102/NYKBOS,0020500007,"WEDNESDAY, NOVEMBER 2, 2005"
1193,Michael,Smith,38,20051102/NYKBOS,0020500007,"WEDNESDAY, NOVEMBER 2, 2005"
2001,Jason,Phillips,23,20051102/NYKBOS,0020500007,"WEDNESDAY, NOVEMBER 2, 2005"
2714,David,Guthrie,60,20051102/MILNJN,0020500008,"WEDNESDAY, NOVEMBER 2, 2005"
1167,Steve,Javie,29,20051102/MILNJN,0020500008,"WEDNESDAY, NOVEMBER 2, 2005"
1156,Tim,Donaghy,21,20051102/MILNJN,0020500008,"WEDNESDAY, NOVEMBER 2, 2005"
2715,Eric,Lewis,42,20051102/PHIDET,0020500009,"WEDNESDAY, NOVEMBER 2, 2005"
1190,Eddie,Rush,32,20051102/PHIDET,0020500009,"WEDNESDAY, NOVEMBER 2, 2005"
1165,Luis,Grillo,8,20051102/PHIDET,0020500009,"WEDNESDAY, NOVEMBER 2, 2005"
1152,Dan,Crawford,43,20051102/MIAMEM,0020500010,"WEDNESDAY, NOVEMBER 2, 2005"
1199,Tom,Washington,49,20051102/MIAMEM,0020500010,"WEDNESDAY, NOVEMBER 2, 2005"
2534,Zach,Zarba,58,20051102/MIAMEM,0020500010,"WEDNESDAY, NOVEMBER 2, 2005"
1148,James,Capers,19,20051102/PORMIN,0020500011,"WEDNESDAY, NOVEMBER 2, 2005"
1155,JB,DeRosa,14,20051102/PORMIN,0020500011,"WEDNESDAY, NOVEMBER 2, 2005"
1189,Phil,Robinson,11,20051102/PORMIN,0020500011,"WEDNESDAY, NOVEMBER 2, 2005"
1198,Scott,Wall,31,20051102/CHACHI,0020500012,"WEDNESDAY, NOVEMBER 2, 2005"
1154,Bob,Delaney,26,20051102/CHACHI,0020500012,"WEDNESDAY, NOVEMBER 2, 2005"
1184,Ron,Olesiak,44,20051102/CHACHI,0020500012,"WEDNESDAY, NOVEMBER 2, 2005"
1176,Monty,McCutchen,13,20051102/SACHOU,0020500013,"WEDNESDAY, NOVEMBER 2, 2005"
2529,Tony,Brown,30,20051102/SACHOU,0020500013,"WEDNESDAY, NOVEMBER 2, 2005"
1200,Greg,Willard,57,20051102/SACHOU,0020500013,"WEDNESDAY, NOVEMBER 2, 2005"
1168,David,Jones,36,20051102/DALUTA,0020500014,"WEDNESDAY, NOVEMBER 2, 2005"
2716,Olandis,Poole,50,20051102/DALUTA,0020500014,"WEDNESDAY, NOVEMBER 2, 2005"
1161,Joe,Forte,45,20051102/DALUTA,0020500014,"WEDNESDAY, NOVEMBER 2, 2005"
1174,Ken,Mauer,41,20051102/LACSEA,0020500015,"WEDNESDAY, NOVEMBER 2, 2005"
1179,Rodney,Mott,71,20051102/LACSEA,0020500015,"WEDNESDAY, NOVEMBER 2, 2005"
