GAMECODE,GAME_ID,GAME_DATE,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM
20020218/TORDET,0020100750,"MONDAY, FEBRUARY 18, 2002",2002.0,Derrick,Collins,54
20020218/TORDET,0020100750,"MONDAY, FEBRUARY 18, 2002",1184.0,Ron,Olesiak,44
20020218/TORDET,0020100750,"MONDAY, FEBRUARY 18, 2002",1144.0,Ted,Bernhardt,16
20020220/UTADEN,0020100765,"WEDNESDAY, FEBRUARY 20, 2002",1148.0,James,Capers,19
20020220/UTADEN,0020100765,"WEDNESDAY, FEBRUARY 20, 2002",1142.0,Dick,Bavetta,27
20020220/UTADEN,0020100765,"WEDNESDAY, FEBRUARY 20, 2002",1170.0,Denise,Kantner,65
20020227/MILBOS,0020100809,"WEDNESDAY, FEBRUARY 27, 2002",1161.0,Joe,Forte,45
20020227/MILBOS,0020100809,"WEDNESDAY, FEBRUARY 27, 2002",1148.0,James,Capers,19
20020227/MILBOS,0020100809,"WEDNESDAY, FEBRUARY 27, 2002",1195.0,Derrick,Stafford,9
20020228/NYKMIA,0020100819,"THURSDAY, FEBRUARY 28, 2002",2004.0,Courtney,Kirkland,61
20020228/NYKMIA,0020100819,"THURSDAY, FEBRUARY 28, 2002",1192.0,Bennett,Salvatore,15
20020228/NYKMIA,0020100819,"THURSDAY, FEBRUARY 28, 2002",1165.0,Luis,Grillo,8
20020302/PORMIL,0020100833,"SATURDAY, MARCH 2, 2002",1142.0,Dick,Bavetta,27
20020302/PORMIL,0020100833,"SATURDAY, MARCH 2, 2002",1159.0,Kevin,Fehr,39
20020302/PORMIL,0020100833,"SATURDAY, MARCH 2, 2002",1156.0,Tim,Donaghy,21
20020305/GSWSAS,0020100859,"TUESDAY, MARCH 5, 2002",1151.0,Sean,Corbin,33
20020305/GSWSAS,0020100859,"TUESDAY, MARCH 5, 2002",1192.0,Bennett,Salvatore,15
20020305/GSWSAS,0020100859,"TUESDAY, MARCH 5, 2002",1189.0,Phil,Robinson,70
20020314/DALPOR,0020100925,"THURSDAY, MARCH 14, 2002",1188.0,Leroy,Richardson,51
20020314/DALPOR,0020100925,"THURSDAY, MARCH 14, 2002",1180.0,Jack,Nies,35
20020314/DALPOR,0020100925,"THURSDAY, MARCH 14, 2002",2147.0,Michael,Henderson,62
20020316/CLENYK,0020100935,"SATURDAY, MARCH 16, 2002",1156.0,Tim,Donaghy,21
20020316/CLENYK,0020100935,"SATURDAY, MARCH 16, 2002",1167.0,Steve,Javie,29
20020316/CLENYK,0020100935,"SATURDAY, MARCH 16, 2002",1170.0,Denise,Kantner,65
20020320/MIAPHI,0020100967,"WEDNESDAY, MARCH 20, 2002",1164.0,Ron,Garretson,10
20020320/MIAPHI,0020100967,"WEDNESDAY, MARCH 20, 2002",1194.0,Bill,Spooner,22
20020320/MIAPHI,0020100967,"WEDNESDAY, MARCH 20, 2002",1143.0,Gary,Benson,30
20020326/CHIORL,0020101010,"TUESDAY, MARCH 26, 2002",1193.0,Michael,Smith,38
20020326/CHIORL,0020101010,"TUESDAY, MARCH 26, 2002",2004.0,Courtney,Kirkland,61
20020326/CHIORL,0020101010,"TUESDAY, MARCH 26, 2002",1197.0,Don,Vaden,12
20020326/HOUUTA,0020101014,"TUESDAY, MARCH 26, 2002",1201.0,Leon,Wood,40
20020326/HOUUTA,0020101014,"TUESDAY, MARCH 26, 2002",1194.0,Bill,Spooner,22
20020326/HOUUTA,0020101014,"TUESDAY, MARCH 26, 2002",1204.0,Derek,Richardson,63
20020327/NYKDET,0020101020,"WEDNESDAY, MARCH 27, 2002",1198.0,Scott,Wall,60
20020327/NYKDET,0020101020,"WEDNESDAY, MARCH 27, 2002",1146.0,Tony,Brothers,56
20020327/NYKDET,0020101020,"WEDNESDAY, MARCH 27, 2002",1153.0,Joe,Crawford,17
20020327/SASPOR,0020101024,"WEDNESDAY, MARCH 27, 2002",1363.0,Bennie,Adams,47
20020327/SASPOR,0020101024,"WEDNESDAY, MARCH 27, 2002",1155.0,JB,DeRosa,14
20020327/SASPOR,0020101024,"WEDNESDAY, MARCH 27, 2002",1168.0,David,Jones,36
20020329/MILWAS,0020101031,"FRIDAY, MARCH 29, 2002",2004.0,Courtney,Kirkland,61
20020329/MILWAS,0020101031,"FRIDAY, MARCH 29, 2002",1167.0,Steve,Javie,29
20020329/MILWAS,0020101031,"FRIDAY, MARCH 29, 2002",1181.0,Tommy,Nunez,28
20020330/SEAPOR,0020101046,"SATURDAY, MARCH 30, 2002",1201.0,Leon,Wood,40
20020330/SEAPOR,0020101046,"SATURDAY, MARCH 30, 2002",1194.0,Bill,Spooner,22
20020330/SEAPOR,0020101046,"SATURDAY, MARCH 30, 2002",1664.0,Gary,Zielinski,59
20020331/DENDET,0020101056,"SUNDAY, MARCH 31, 2002",1154.0,Bob,Delaney,26
20020331/DENDET,0020101056,"SUNDAY, MARCH 31, 2002",1203.0,Mark,Wunderlich,18
20020331/DENDET,0020101056,"SUNDAY, MARCH 31, 2002",1185.0,Violet,Palmer,66
20020416/ORLATL,0020101169,"TUESDAY, APRIL 16, 2002",1197.0,Don,Vaden,12
20020416/ORLATL,0020101169,"TUESDAY, APRIL 16, 2002",1176.0,Monty,McCutchen,58
20020416/ORLATL,0020101169,"TUESDAY, APRIL 16, 2002",1830.0,Marc,Davis,64
