GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3A,FG3M,FG3_PCT,FTA,FTM,FT_PCT,DREB,OREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0028400002,1610612739,CLE,Cleveland,76526,Johnny Davis,,,31,4,14.0,0.286,1.0,0.0,0.0,8.0,7,0.875,1.0,2.0,3.0,3.0,1.0,0.0,2.0,1.0,15,
0028400002,1610612739,CLE,Cleveland,76753,World Free,,,19,3,8.0,0.375,0.0,0.0,0.0,0.0,0,0.0,3.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,6,
0028400002,1610612739,CLE,Cleveland,77071,Phil Hubbard,,,19,4,8.0,0.5,0.0,0.0,0.0,4.0,3,0.75,5.0,3.0,8.0,2.0,0.0,1.0,2.0,4.0,11,
0028400002,1610612739,CLE,Cleveland,77873,Ben Poquette,,,16,3,6.0,0.5,0.0,0.0,0.0,0.0,0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,5.0,6,
0028400002,1610612739,CLE,Cleveland,78047,Campy Russell,,,5,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0028400002,1610612739,CLE,Cleveland,78204,Robert Smith,,,10,0,3.0,0.0,1.0,0.0,0.0,0.0,0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0,
0028400002,1610612739,CLE,Cleveland,78386,Mel Turpin,,,39,6,16.0,0.375,0.0,0.0,0.0,1.0,1,1.0,5.0,5.0,10.0,2.0,0.0,1.0,1.0,3.0,13,
0028400002,1610612755,PHL,Philadelphia,9,Sedale Threatt,,,20,3,6.0,0.5,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,5.0,3.0,0.0,1.0,2.0,6,
0028400002,1610612755,PHL,Philadelphia,787,Charles Barkley,,,27,3,6.0,0.5,0.0,0.0,0.0,6.0,5,0.833,3.0,3.0,6.0,3.0,1.0,1.0,5.0,4.0,11,
0028400002,1610612755,PHL,Philadelphia,76385,Maurice Cheeks,,,35,9,13.0,0.692,0.0,0.0,0.0,2.0,1,0.5,3.0,0.0,3.0,9.0,2.0,1.0,1.0,5.0,19,
