GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,WH_STATUS,GAME_DATE,ATTENDANCE,GAME_TIME
2016-10-25T00:00:00,1,0021600001,3,Final,20161025/NYKCLE,1610612739,1610612752,2016,4,     ,,Q4       - ,1,"TUESDAY, OCTOBER 25, 2016",,2:19
2016-10-25T00:00:00,2,0021600002,3,Final,20161025/UTAPOR,1610612757,1610612762,2016,4,     ,,Q4       - ,1,"TUESDAY, OCTOBER 25, 2016",19446,2:12
2016-10-25T00:00:00,3,0021600003,3,Final,20161025/SASGSW,1610612744,1610612759,2016,4,     ,TNT,Q4       - TNT,1,"TUESDAY, OCTOBER 25, 2016",19596,2:18
2016-10-26T00:00:00,1,0021600004,3,Final,20161026/MIAORL,1610612753,1610612748,2016,4,     ,ALT2,Q4       - ALT2,1,"WEDNESDAY, OCTOBER 26, 2016",19298,2:19
2016-10-26T00:00:00,2,0021600005,3,Final,20161026/DALIND,1610612754,1610612742,2016,5,     ,,Q5       - ,1,"WEDNESDAY, OCTOBER 26, 2016",17923,2:47
2016-10-26T00:00:00,3,0021600006,3,Final,20161026/BKNBOS,1610612738,1610612751,2016,4,     ,,Q4       - ,1,"WEDNESDAY, OCTOBER 26, 2016",18624,2:21
2016-10-26T00:00:00,4,0021600007,3,Final,20161026/DETTOR,1610612761,1610612765,2016,4,     ,,Q4       - ,1,"WEDNESDAY, OCTOBER 26, 2016",19800,2:10
2016-10-26T00:00:00,5,0021600008,3,Final,20161026/CHAMIL,1610612749,1610612766,2016,4,     ,,Q4       - ,1,"WEDNESDAY, OCTOBER 26, 2016",18717,2:18
2016-10-26T00:00:00,6,0021600009,3,Final,20161026/MINMEM,1610612763,1610612750,2016,4,     ,,Q4       - ,1,"WEDNESDAY, OCTOBER 26, 2016",18119,2:30
2016-10-26T00:00:00,7,0021600010,3,Final,20161026/DENNOP,1610612740,1610612743,2016,4,     ,,Q4       - ,1,"WEDNESDAY, OCTOBER 26, 2016",15869,2:31
2016-10-26T00:00:00,8,0021600011,3,Final,20161026/OKCPHI,1610612755,1610612760,2016,4,     ,ESPN,Q4       - ESPN,1,"WEDNESDAY, OCTOBER 26, 2016",20487,2:32
2016-10-26T00:00:00,9,0021600012,3,Final,20161026/SACPHX,1610612756,1610612758,2016,4,     ,,Q4       - ,1,"WEDNESDAY, OCTOBER 26, 2016",18055,2:20
2016-10-26T00:00:00,10,0021600013,3,Final,20161026/HOULAL,1610612747,1610612745,2016,4,     ,ESPN,Q4       - ESPN,1,"WEDNESDAY, OCTOBER 26, 2016",18997,2:27
2016-10-27T00:00:00,1,0021600014,3,Final,20161027/WASATL,1610612737,1610612764,2016,4,     ,,Q4       - ,1,"THURSDAY, OCTOBER 27, 2016",19049,2:16
2016-10-27T00:00:00,2,0021600015,3,Final,20161027/BOSCHI,1610612741,1610612738,2016,4,     ,TNT,Q4       - TNT,1,"THURSDAY, OCTOBER 27, 2016",21501,2:31
2016-10-27T00:00:00,3,0021600016,3,Final,20161027/SASSAC,1610612758,1610612759,2016,4,     ,,Q4       - ,1,"THURSDAY, OCTOBER 27, 2016",17608,2:19
2016-10-27T00:00:00,4,0021600017,3,Final,20161027/LACPOR,1610612757,1610612746,2016,4,     ,TNT,Q4       - TNT,1,"THURSDAY, OCTOBER 27, 2016",19500,2:47
2016-10-28T00:00:00,1,0021600018,3,Final,20161028/CLETOR,1610612761,1610612739,2016,4,     ,ESPN,Q4       - ESPN,1,"FRIDAY, OCTOBER 28, 2016",19800,2:26
2016-10-28T00:00:00,2,0021600019,3,Final,20161028/INDBKN,1610612751,1610612754,2016,4,     ,,Q4       - ,1,"FRIDAY, OCTOBER 28, 2016",17732,2:14
2016-10-28T00:00:00,3,0021600020,3,Final,20161028/ORLDET,1610612765,1610612753,2016,4,     ,,Q4       - ,1,"FRIDAY, OCTOBER 28, 2016",19122,1:57
2016-10-28T00:00:00,4,0021600021,3,Final,20161028/PHXOKC,1610612760,1610612756,2016,5,     ,,Q5       - ,1,"FRIDAY, OCTOBER 28, 2016",18203,2:52
2016-10-28T00:00:00,5,0021600022,3,Final,20161028/CHAMIA,1610612748,1610612766,2016,4,     ,,Q4       - ,1,"FRIDAY, OCTOBER 28, 2016",19600,2:16
2016-10-28T00:00:00,6,0021600023,3,Final,20161028/HOUDAL,1610612742,1610612745,2016,4,     ,,Q4       - ,1,"FRIDAY, OCTOBER 28, 2016",20163,2:14
2016-10-28T00:00:00,7,0021600024,3,Final,20161028/LALUTA,1610612762,1610612747,2016,4,     ,,Q4       - ,1,"FRIDAY, OCTOBER 28, 2016",19911,2:29
2016-10-28T00:00:00,8,0021600025,3,Final,20161028/GSWNOP,1610612740,1610612744,2016,4,     ,ESPN,Q4       - ESPN,1,"FRIDAY, OCTOBER 28, 2016",18217,2:30
2016-10-29T00:00:00,1,0021600026,3,Final,20161029/ATLPHI,1610612755,1610612737,2016,4,     ,,Q4       - ,1,"SATURDAY, OCTOBER 29, 2016",16312,2:09
2016-10-29T00:00:00,2,0021600027,3,Final,20161029/BOSCHA,1610612766,1610612738,2016,4,     ,,Q4       - ,1,"SATURDAY, OCTOBER 29, 2016",18708,2:18
2016-10-29T00:00:00,3,0021600028,3,Final,20161029/MEMNYK,1610612752,1610612763,2016,4,     ,,Q4       - ,1,"SATURDAY, OCTOBER 29, 2016",19812,2:37
2016-10-29T00:00:00,4,0021600029,3,Final,20161029/ORLCLE,1610612739,1610612753,2016,4,     ,,Q4       - ,1,"SATURDAY, OCTOBER 29, 2016",20562,2:33
2016-10-29T00:00:00,5,0021600030,3,Final,20161029/INDCHI,1610612741,1610612754,2016,4,     ,,Q4       - ,1,"SATURDAY, OCTOBER 29, 2016",21373,1:60
2016-10-29T00:00:00,6,0021600031,3,Final,20161029/BKNMIL,1610612749,1610612751,2016,4,     ,,Q4       - ,1,"SATURDAY, OCTOBER 29, 2016",12570,2:14
2016-10-29T00:00:00,7,0021600032,3,Final,20161029/NOPSAS,1610612759,1610612740,2016,4,     ,NBA TV,Q4       - NBA TV,1,"SATURDAY, OCTOBER 29, 2016",18418,2:05
2016-10-29T00:00:00,8,0021600033,3,Final,20161029/PORDEN,1610612743,1610612757,2016,5,     ,,Q5       - ,1,"SATURDAY, OCTOBER 29, 2016",18055,3:19
2016-10-29T00:00:00,9,0021600034,3,Final,20161029/MINSAC,1610612758,1610612750,2016,4,     ,NBA TV,Q4       - NBA TV,1,"SATURDAY, OCTOBER 29, 2016",17608,2:33
2016-10-30T00:00:00,1,0021600035,3,Final,20161030/UTALAC,1610612746,1610612762,2016,4,     ,,Q4       - ,1,"SUNDAY, OCTOBER 30, 2016",19060,2:08
2016-10-30T00:00:00,2,0021600036,3,Final,20161030/GSWPHX,1610612756,1610612744,2016,4,     ,,Q4       - ,1,"SUNDAY, OCTOBER 30, 2016",17011,2:29
2016-10-30T00:00:00,3,0021600037,3,Final,20161030/SASMIA,1610612748,1610612759,2016,4,     ,,Q4       - ,1,"SUNDAY, OCTOBER 30, 2016",19678,2:32
2016-10-30T00:00:00,4,0021600038,3,Final,20161030/MILDET,1610612765,1610612749,2016,4,     ,,Q4       - ,1,"SUNDAY, OCTOBER 30, 2016",15161,2:05
2016-10-30T00:00:00,6,0021600039,3,Final,20161030/WASMEM,1610612763,1610612764,2016,5,     ,NBA TV,Q5       - NBA TV,1,"SUNDAY, OCTOBER 30, 2016",15573,2:37
2016-10-30T00:00:00,5,0021600040,3,Final,20161030/LALOKC,1610612760,1610612747,2016,4,     ,,Q4       - ,1,"SUNDAY, OCTOBER 30, 2016",18203,2:12
